folder	size in KB	description, when missing you can find the query in git commit history
fakenewssource3	10811064	{q:'16wmpo.com,100percentfedup.com,21stcenturywire.com,24newsflash.com,24wpn.com,247newsmedia.com,24online.news,24x365live.com,365usanews.com,4threvolutionarywar.wordpress.com,70news.wordpress.com,82.221.129.208,abcnewsgo.co,americanoverlook.com,ancient-code.com,anonjekloy.tk,americanpatriotdaily.com,aheadoftheherd.com,aanirfan.blogspot.co.uk,alternativemediasyndicate.com,americantoday.news,actualidadpanamericana.com,alt-market.com,aryannationswordwide1488.org,americablog.com,awazetribune.com,amposts.com,asamericanasapplepie.org,anonhq.com,amren.com,americasfreedomfighters.com,americanpoliticnews.co,associatedmediacoverage.com,armyusanews.com,americanflavor.news,americantoday.us,adobochronicles.com,anonews.co,americanpeoplenetwork.com,aceflashman.wordpress.com,awm.com,amtvmedia.com,antiwar.com,ammoland.com,activistpost.com,ahtribune.com,anonnews.co,automaticearth.com,asia-pacificresearch.com,acting-man.com,awdnews.com,abeldanger.net,anews24.org,americanborderpatrol.com,aurora-news.us,allnewspipeline.com,actforamerica.org,americanfreepress.net,abcnews.com.co,americannews.com,americanthinker.com,antoniusaquinas.wp.com,anotherdayintheempire.com,americankabuki.blogspot.com,a-news24.com,alabamaobserver.com,americanpresident.co,abriluno.com,abovetopsecret.com,adflegal.org,antinews.com,assassinationscience.com,americanreviewer.com,awarenessact.com,angrypatriotmovement.com,americanlookout.com,bvanews.com,bigbluevision.com,bloomberg.ma,bostonleader.com,bluevisionpost.com,breakingtop.world,bignuggetnews.com,blackinusrancenews.com,burrardstreetjournal.com,benjaminfulford.typepad.com,blackgenocide.org,blackagendareport.com,bigbluedimension.com,buzzfeedusa.com,bluevision.news,breakingnewsblast.com,bighairynews.com,bigamericannews.com,boilingfrogspost.com,brotherjohnf.com,breaking-cnn.com,breakpoint.org,bb4sp.com,breakingnews247.net,bizstandardnews.com,bostontribune.com,blog.veterantv.net,bullionbullscanada.com,beforeitsnews.com,barenakedislam.com,betootaadvocate.com,beehivebugle.com,borowitzreport.com,bients.com,breakingnews365.net,barnesreview.org,babylonbee.com,collectivelyconscious.net,canadafreepress.com,countdowntozerotime.com,conservativepaper.com,clashdaily.com,coed.com,cnnews3.com,celebtricity.com,centerforsecuritypolicy.org,conservativefrontline.com,cnsnews.com,counterpsyops.com,christianfightback.com,conservativerefocus.com,charismanews.com,conservativepapers.com,channel-7-news.com,cnnnext.com,conservativefighters.com,channel18news.com,cnn-trending.com,coffeebreakforyou.com,chronicle.su,crystalair.com,creambmp.com,callthecops.net,conspiracyplanet.com,cryptogon.com,conservativespirit.com,christwire.org,conservativefiringline.com,conservativestate.com,cbsnews.com.co,consciouslifenews.com,christiantimesnewspaper.com,clickhole.com,collective-evolution.com,cowgernation.com,cnn-business-news.ga,chaser.com.au,cnewsgo.com,conservativeoutfitters.com,cityworldnews.com,channel24news.com,cannasos.com,concisepolitics.com,conservapedia.com,conservativehq.com,conservativeinfocorner.com,conservativedailypost.com,christiantoday.info,citizensunited.org,creativitymovement.net,counterjihad.com,conservativebyte.com,checkoutthehealthyworld.com,conservative101.com,conservativetribune.com,countercurrentnews.com,coasttocoastam.com,conservativearmy88.com,civictribune.com,conservativeinfidel.com,conservativeflashnews.com,conspiracywire.com,cap-news.com,countynewsroom.info,corbettreport.com,conservativeview.info,dailyheadlines.net,dailynewsposts.info,dailysnark.com,davidduke.com,dcgazette.com,dutchsinse.com,diversitychronicle.wordpress.com,dataasylum.com,duffelblog.com,davidwolfe.com,dailysurge.com,derfmagazine.com,drrichswier.com,dandygoat.com,dailypoliticsusa.com,disclose.tv,dailycurrant.com,dailyusaupdate.com,dailyinfobox.com,democraticunderground.com,dailyfeed.news,dailynews5.com,donaldtrumppotus45.com,debunkingskeptics.com,dailythings.world,damnleaks.com,dailytelegraph.com.au,dailynews10.com,dailydiscord.com,dailysignal.com,democraticmoms.com,defenseusa.club,duffleblog.com,darkpolitricks.com,drudgereport.com.co,deadlyclear.wordpress.com,dailyheadlines.com,dineal.com,dailybuzzlive.com,ddemocraticunderground.com,denverinquirer.com,dont-tread-on.me,defenddemocracy.press,dcleaks.com,diyhours.net,der-postillon.com,dollarvigilante.com,dailynewsbin.com,dailysidnews.com,davejanda.com,downtrend.com,dailywire.com,dailystormer.com,donaldtrumpnews.co,departed.co,darkmoon.me,disclosuremedia.net,dailyoccupation.com,dailyleak.org,departedme.com,departedmedia.com,dailysquib.co.uk,denverguardian.com,dcclothesline.com,duhprogressive.com,dailyken.com,elelephantintheroom.blogspot.com,eyeopening.info,enabon.com,empiresports.co,endoftheamericandream.com,elmundotoday.com,empireherald.com,enhlive.com,enduringvision.com,electionnightgatekeepers.com,elkoshary.com,extraclubmagazine.com,expose1933.com,eutopia.buzz,express.co.uk,empirenews.net,expositiondaily.com,experimentalvaccines.org,embols.com,ewao.com,eutimes.net,ebolahoax.com,eaglerising.com,empirehearland.com,endtime.com,en-vovle.com,endingthefed.com,educate-yourself.org,en-volve.com,freedomsphoenix.com,fprnradio.com,foodbabe.com,flashnewscorner.com,freewoodpost.com,freepatriot.org,fedsalert.com,fridaymash.com,frontpagemag.com,fmobserver.com,freshdailyreport.com,firearmscoalition.org,fromthetrenchesworldreport.com,freedomoutpost.com,focusnews.info,farmwars.info,financialsurvivalnetwork.com,freedomforceinternational.com,federalisttribune.com,familysecuritymatters.org,floridasunpost.com,freedomjunkshun.com,fellowshipoftheminds.com,freedomsfinalstand.com,freedomcrossroads.us,fakingnews.com,forfreedomworld.com,fognews.ru,freedomworldnews.com,freakoutnation.com,fourwinds10.net,freebeacon.com,federalistpress.com,freeinfomedia.com,fox-news24.com,freedomdaily.com,greanvillepost.com,godlikeproductions.com,globalassociatednews.com,gummypost.com,greenmedinfo.com,goneleft.com,guerilla.news,galacticconnection.com,globalresearch.ca,gomerblog.com,globalrevolutionnetwork.com,geoengineeringwatch.org,gatesofvienna.net,givemeliberity01.com,glaringhypocrisy.com,govtslaves.info,globalpoliticsnow.com,gulagbound.com,guccifer2.wordpress.com,glossynews.com,gangstergovernment.com,gopthedailydose.com,gaia.com,givemeliberty01.com,healthycareandbeauty.com,hangthebankers.com,henrymakow.com,humortimes.com,holyobserver.com,heartland.org,horowitzfreedomcenter.org,humansarefree.com,houstonchronicle-tv.com,heresyblog.net,halfwaypost.com,healthy-holistic-living.com,huzlers.com,healthimpactnews.com,healthnutnews.com,healthyworldhouse.com,infowars.com,interestingthingsdaily.com,ifyouonlynews.com,isthatlegit.com,investmentwatchblog.com,intrendtoday.com,interestingdailynews.com,instaworldnews.com,informetoday.com,itaglive.com,in5d.com,intrepidreport.com,ilovemyfreedom.org,illuminati-news.com,iwanttoexplore.com,infiniteunknown.net,ironictimes.com,ihr.org,itccs.org,ihavethetruth.com,islamicanews.com,intellihub.com,informationclearinghouse.info,immediatesafety.org,itmakessenseblog.com,icr.org,investmentresearchdynamics.com,infostormer.com,johnnyrobish.com,jonesreport.com,jihadwatch.org,jamesrgrangerjr.com,jesus-is-savior.com,journal-neo.org,jewsnews.co.il,katehon.com,konkonsagh.biz,knowledgeoftoday.org,ky12news.com,kf13.com,kty24news.com,kmt11.com,krb7.com,kcst7.com,krbcnews.com,kbc14.com,libertyfederation.com,linkbeef.com,liberalbias.com,libertyvideos.org,landoverbaptist.org,libertytalk.fm,learnprogress.org,liberalplug.com,lifeprevention.com,liberaldarkness.com,loanpride.com,libertyalliance.com,lifeandabout.com,libertyblitzkrieg.com,lifenews.com,ladylibertysnews.com,local31news.com,libertynews.com,lushforlife.com,lastdeplorables.com,libertymovementradio.com,ladylibertynews.com,liberty-courier.com,liberalsociety.com,lewrockwell.com,libertywriters.com,libertyunyielding.com,liveactionnews.org,mzansiville.co.za,militianews.com,morningledger.com,msnbc.website,metropolitanworlds.com,madworldnews.com,mad-yet.blogspot.com,mpidailymagazine.com,megynkelly.us,moonofalabama.org,megafreshnews.com,makeamericagreattoday.com,majorthoughts.com,mediazone.news,magafeed.com,mentor2day.com,mississippiherald.com,myfreshnews.com,mrconservative.com,meanlefthook.com,morningnewsusa.com,mediafetcher.com,mediamass.net,madpatriots.com,molonlabemedia.com,maganews.co,myzonetoday.com,nationindistress.weebly.com,newzmagazine.com,newsbbc.net,nnn.is,newsformetoday.com,news-hound.org,nutritionalanarchy.com,nahadaily.com,nephef.com,nbc.com.co,newstoad.net,neonnettle.com,nationalreport.net,nomorefakenews.com,newsmax.com,nasamoonhoax.com,newsfeedhunter.com,nydailynews-tv.com,ncscooper.com,newsjustforyou1.blogspot.com,newsbiscuit.com,newsexaminer.net,newsmutiny.com,news4ktla.com,newspunch.com,newsbreakshere.com,newsbreakingspipe.com,newcenturytimes.com,newstarget.com,newsbreakers.org,newsdaily12.com,newsfrompolitics.com,newpoliticstoday.com,newsleak.co,newsbysquad.com,nunadisbereel.com,newsuptoday.com,notallowedto.com,naturalblaze.com,nationalinsiderpolitics.com,now8news.com,nnettle.com,northcrane.com,newsphd.com,newslo.com,npiamerica.org,nbcnews.com.co,newslogue.com,naturalnewsblogs.com,nevo.news,newsninja2012.com,nodisinfo.com,newsoftrump.com,nationalvanguard.org,newsbreakhere.com,nowtheendbegins.com,newyorker.com,newswithviews.com,newswatch28.com,nationonenews.com,newsbuzzdaily.com,newsmagazine.com,nationalufocenter.com,newsthump.com,newswire-24.com,naturalnews.com,nativestuff.us,newsconservative.com,newswatch33.com,oilgeopolitics.net,onlineconservativepress.com,openmindmagazine.com,ourlandofthefree.com,oathkeepers.org,orientalreview.org,onepoliticalplaza.com,offgridsurvival.com,opindia.com,oftwominds.com,off-guardian.org,observeronline.news,occupyliberals.com,openmagazines.com,objectiveministries.org,politicalsitenews.com,prisonplanet.tv,presstv.ir,patriotcrier.com,proudcons.com,patriotnewsdaily.com,patriotpost.us,politicsusanews.com,politicass.com,politicalblindspot.com,prntly.com,politicspaper.com,patriotchronicle.com,proudleader.com,politicalmayhem.news,pakalertpress.com,platosguns.com,politicops.com,puppetstringnews.com,pravda.ru,politicalears.com,patdollar.com,presstv.com,pamelageller.com,politicono.com,proamericanews.com,president45donaldtrump.com,politicot.com,progressivestoday.com,prepperwebsite.com,politicalcult.com,persecutes.com,projectveritas.com,patriotusa.website,patriotrising.com,pollhype.com,patriotupdate.com,politicalupdator.com,prisonplanet.com,politicalo.com,powerpoliticians.com,paulcraigroberts.org,palmerreport.com,pravdareport.com,politicsintheusa.com,qpolitical.com,revolutions2040.com,rickwells.us,rumorjournal.com,religionmind.com,rawforbeauty.com,redinfo.us,rhotv.com,rockcitytimes.com,realtruenews.com,redpolitics.us,rearfront.com,redcountry.us,realplanetnews.com,readconservatives.news,reagancoalition.com,reductress.com,rense.com,redflagnews.com,rogue-nation3.com,regated.com,redrocktribune.com,rightwingnews.com,redstatewatcher.com,rilenews.com,responsibletechnology.org,realnewsrightnow.com,russia-insider.com,returnofkings.com,religionlo.com,realtimepolitics.com,realfarmacy.com,rightalert.com,rumormillnews.com,react365.com,stneotscitizen.com,sputniknews.com,speld.nl,silverstealers.net,stuppid.com,silverbearcafe.com,silverdoctors.com,shareblue.com,sheepkillers.com,southernconservativeextra.com,sonsoflibertyradio.com,subjectpolitics.com,snoopack.com,superstation95.com,sjlendman.blogspot.com,success-street.com,supremepatriot.com,sportspickle.com,shoebat.com,sensationalisttimes.com,stormcloudsgathering.com,stgeorgegazette.com,sovereignman.com,sentinelblog.com,skeptiko.com,smag31.com,spinzon.com,states-tv.com,socialeverythings.com,satirewire.com,secretsofthefed.com,satiratribune.com,scrappleface.com,silver-coin-investor. com,surrealscoop.com,theexaminer.site,thetruthseeker.co.uk,therealshtick.com,teaparty.org,truthrevolt.org,therightists.com,themindunleashed.org,theextinctionprotocol.com,thegoldandoilguy.com,thewatchtowers.com,thelibertymill.com,thevalleyreport.com,tdtalliance.com,theusaconservative.com,themindunleashed.com,thetimesoftheworld.com,thehardtimes.net,thefreethoughtproject.com,the-insider.co,therightscoop.com,threepercenternation.com,thepremiumnews.com,theusa-news.com,theracketreport.com,thedailysheeple.com,truthfeed.com,thepeoplescube.com,thespoof.com,thepoke.co.uk,thepredicted.com,thebigriddle.com,themiamigazette.com,theamericanindependent.wordpress.com,the-postillon.com,thedailywtf.com,theinternetpost.net,thenewamerican.com,thetruthdivision.com,thenewyorkevening.com,trueamericans.me,truetrumpers.com,theduran.com,theshovel.com.au,theeventchronicle.com,therightstuff.biz,themoralofthestory.us,thetruthaboutcancer.com,the-global-news.com,thegatewaypundit.com,theineptowl.com,thenet24h.com,thewashingtonpress.com,times.com.mx,theskunk.org,themuslimissue.wordpress.com,thefederalistpapers.org,thelastgreatstand.com,thetrumpmedia.com,thereporterz.com,tmzworldnews.com,trumpvision365.com,theonion.com,therealstrategy.com,thenewsnerd.com,thebeaverton.com,theunrealtimes.com,truepundit.com,thebostontribune.com,thatviralfeed.net,teoinfo.com,thecommonsenseshow.com,thelibertybeacon.com,theeconomiccollapseblog.com,thestatelyharold.com,truthandaction.org,thefreepatriot.org,thecontroversialfiles.net,thenewsdoctors.com,theinformedamerican.net,theantimedia.org,thetruthwins.com,truthkings.com,theworldupdate.com,thelastlineofdefense.org,thephaser.com,truthbroadcastnetwork.com,truthfrequencyradio.com,topekasnews.com,theseattletribune.com,themideastbeast.com,thedailymash.co.uk,thirdestatenewsgroup.com,theforbiddenknowledge.com,theuspatriot.com,thepoliticalinsider.com,themadisonmisnomer.com,unz.com,usatoday.com.co,usanewsinsider.com,us.blastingnews.com,usaconservativereport.com,uconservative.net,unconfirmedsources.com,uspostman.com,usaonlinepolitics.com,usamagazinestudio.com,usanews4u.us,usasnich.com,universepolitics.com,usa2016elections.com,usainfobox.com,usatwentyfour.com,usanewsflash.com,usanewspolitics.com,uschronicle.com,usapoliticszone.com,usconservativetoday.com,ushealthylife.com,usaworldbox.com,usadailypost.us,usadailytime.com,usfanzone.com,unitedmediapublishing.com,usa-television.com,uspoliticslive.com,usatodaynews.me,usadailypolitics.com,usadailyinfo.com,usanewshome.com,usherald.com,usapolitics24hrs.com,uspoln.com,uspoliticsinfo.com,undergroundworldnews.com,usdefensewatch.com,usadailythings24.com,usasupreme.com,usaphase.com,usapoliticstoday.com,usa-radio.com,ustruthwire.com,usa360-tv.com,usafirstinformation.com,ushealthyadvisor.com,usawatchdog.com,usapoliticsnow.com,unclesamsmisguidedchildren.com,usadosenews.com,usinfonews.com,undergroundnewsreport.com,usanewstoday.com,ufoholic.com,usahitman.com,usviewer.com,voxtribune.com,viralliberty.com,vdare.com,veteranstoday.com,vigilantcitizen.com,veteransnewsnow.com,veteransfordonaldtrump.com,viralactions.com,weaselzippers.us,washingtonpost.com.co,whydontyoutrythis.com,westernjournalism.com,wearechange.org,wallstreetonparade.com,weshapelife.org,worldrumor.com,wy21news.com,wikileaks.com,worldnewspolitics.com,whatdoesitmean.com,washingtonsblog.com,weekendpoliticalnews.com,worldstoriestoday.com,wolfstreet.com,werk35.com,wundergroundmusic.com,williambanzai7.blogspot.com,wazanews.tk,wetheproudpatriots.com,wakingupwisconsin.com,winkprogress.com,worldtruth.tv,washingtonevening.com,whowhatwhy.com,worldnewsdailyreport.com,wonkie.com,whitepower.com,washingtonfed.com,washingtonfeed.com,wakingtimes.com,world.politics.com,waterfordwhispersnews.com,weconservative.com,winningdemocrats.com,wikileaks.org,witscience.org,weeklyworldnews.com,whatreallyhappened.com,wikispooks.com,worldpoliticsnow.com,worldnewscircle.com,webdaily.com,willyloman.wordpress.com,wrpm33.com,wakeupthesheep.com,wtoe5news.com,worldwidehealthy.com,wnd.com,westfieldpost.com,whowhatwhy.org,worldpoliticsus.com,x22report.com,youngcons.com,yourfunpage.com,yesimright.com,yournewswire.com,zerohedge.com,zootfeed.com,κβοι2.com,квоі2.com'.urlList()}
floridashooting	4906900	{q:'emmagonzalez OR floridahighschool OR floridaschoolshooting OR floridashooter OR floridashooting OR floridastrong OR guncontrol OR guncontrolnow OR gunlawsnow OR gunreformnow OR gunsafety OR gunsense OR gunshooting OR highschoolshooter OR march4ourlives OR marchforourlives OR massshooting OR massshootings OR neveragain OR nrabloodmoney OR parklandschoolshooting OR parklandshooting OR righttobeararms OR schoolshooting'}
floridashooting2	8693556	{q:'neveragain OR gunreformnow OR guncontrolnow OR guncontrol OR marchforourlives OR parkland OR parklandschoolshooting OR floridaschoolshooting OR parklandshooting OR #nra OR floridashooting OR nrabloodmoney OR banassaultweapons OR gunsense OR emmagonzalez OR schoolshooting OR parklandstudents OR parklandstudentsspeak OR gunviolence OR floridashooter OR wecallbs OR studentsstandup OR parklandstrong'}
framingmanual	3784	
fridaysforfuture2	9103352	{q:'fridaysforfuture,climatestrike,climatechange,climateaction,from:gretathunberg,to:gretathunberg,gretathunberg,klimastreik'.toOR()}
gauland	168236	{q:'#gauland,#gaulandpause'.expand()}
gelbwesten	44200	
gendern	220264	{q:'gendern'}
georgefloyd	3476060	
georgefloyd2	1238880	
georgefloyd3	3077176	
georgefloyd4	441180	
georgefloyd5	79348636	{q:'bluelivesmatter,bluelivesmatters,kpop,kpopdoesnotunderstandungaunga,kpopstans,opfancam,whitelivesmatter,whitelivesmatters,whitelivesmattertoo,whiteoutday,whiteouttuesday,whiteoutwednesday,black_lives_matter,blackhistorymonth,blacklivemattters,blacklivesmattter,blackoutday2020,blackouttuesday,dictatortrump,georgeflyod,trumpdictatorship,washingtondcprotest,whyididntreport,BLACK_LIVES_MATTERS,vidasnegrasimportam,protests2020,justiceforgeorgefloyd,georgefloyd,minneapolisriot,derekchauvin,georgefloydprotest,minneapolisprotests,chauvin,icantbreathe,justiceforgeorge,georgefloydmurder,justiceforfloyd,georgefloydwasmurdered,"george floyd"'.toOR(), splitTime:6}
georgefloyd6	816758728	{q:'dcblackout,acab,adamatraore,alllivesmatters,americacontrump,antifaterrorists,backtheblue,black_live_matter,blacklivesmatteruk,blacklivesmattteruk,blackoutday,blackoutday2020,blackoutuesday,blacktranslivesmatter,blakelivesmatter,blm,blmprotest,blueline,breaking,breonnataylor,buildthewall,daviddorn,daviddornslifemattered,dcprotests,defundthepolice,desireebarnes,donaldtrump,fachaqueveofachaquefancameo,floyd,georgefloydprotests,giannafloyd,goergefloyd,haveafuckingplan,houstonprotest,icantbreath,iyannadior,junkterrorbillnow,justiceforahmaud,justiceforbreonnataylor,justicefordaviddorn,justicefordjevolve,justiceforgeorgesfloyd,justicepouradama,kag,kag2020,lashondaanderson,maga,maga2020,marktuan,minneapolis,nojusticenopeace,nyccurfew,nycprotests,palgharsadhulynching,paris,peacefulprotest,pmqs,policebrutality,policier,portlandprotest,protest,protest2020,protesters,racism,riots,riots2020,ripgeorgefloyd,sayhisname,saynotorapist,saytheirnames,seattleprotest,simply_kpop,stopracism,taketheknee,theshowmustbepaused,trump,trump2020,trumphasnoplan,trumpincitesviolence,trumpout2020,trumpresignnow,usaonfire,violencespolicieres,whitehouse,whitelivesmattter,whiteoutwednsday,womenfortrump'.toOR(), splitTime:6}
georgefloyd7	29327472	{q:'FoxNewsisRacist,foxnews,BlackLivesMattters,cnnsesamestreet,sayhername,birthdayforbreonna,justiceforbreonna,justiceforblacklives,TrayvonMartin,AhmaudArbery,TamirRice,OscarGrant,EricGarner,PhilandoCastile,SamuelDubose,SandraBland,WalterScott,TerrenceCrutcher,RegisKorchinskiPaquet,TonyMcDade,QuaniceHayes,"Trayvon Martin","Breonna Taylor","Ahmaud Arbery","Tamir Rice","Oscar Grant","Eric Garner","Philando Castile","Samuel Dubose","Sandra Bland","Walter Scott","Terrence Crutcher","Regis Korchinski-Paquet","Tony McDade","Quanice Hayes",Normandy,DDay,DDay76'.toOR(), splitTime:4}
georgefloyd8	754304	{q:'calminkirkland,opfancam,alllivesmatter,thinblueline,womenfortrump,noracism'.expand()}
germandream	2308	
gfd_grundgesetz_list_alles-auf-einen-blick	15484	tweets of the of all account the named twitter list
gfd_grundgesetz_list_bundestagsmitglieder	5488	tweets of the of all account the named twitter list
gfd_grundgesetz_list_bundesvorstand	4188	tweets of the of all account the named twitter list
gfd_grundgesetz_list_junge-alternative	252	tweets of the of all account the named twitter list
gfd_grundgesetz_list_landessprecher-vors	2276	tweets of the of all account the named twitter list
gfd_grundgesetz_list_landesverb-nde	672	tweets of the of all account the named twitter list
gfd_grundgesetz_list_landtagsabgeordnete	5012	tweets of the of all account the named twitter list
gfd_grundgesetz_list_landtagsfraktionen	540	tweets of the of all account the named twitter list
gfd_grundgesetz_list_ltw-kandidaten-th-ringen	756	tweets of the of all account the named twitter list
gfd_grundgesetz_list_lv-baden-w-rttemberg	3940	tweets of the of all account the named twitter list
gfd_grundgesetz_list_lv-bayern	1596	tweets of the of all account the named twitter list
gfd_grundgesetz_list_lv-berlin	3248	tweets of the of all account the named twitter list
gfd_grundgesetz_list_lv-brandenburg	292	tweets of the of all account the named twitter list
gfd_grundgesetz_list_lv-bremen	44	tweets of the of all account the named twitter list
gfd_grundgesetz_list_lv-hamburg	560	tweets of the of all account the named twitter list
gfd_grundgesetz_list_lv-hessen	868	tweets of the of all account the named twitter list
gfd_grundgesetz_list_lv-mecklenburg-vorpommern	688	tweets of the of all account the named twitter list
gfd_grundgesetz_list_lv-niedersachsen	1580	tweets of the of all account the named twitter list
gfd_grundgesetz_list_lv-nordrhein-westfalen	1956	tweets of the of all account the named twitter list
gfd_grundgesetz_list_lv-rheinland-pfalz	820	tweets of the of all account the named twitter list
gfd_grundgesetz_list_lv-saarland	108	tweets of the of all account the named twitter list
gfd_grundgesetz_list_lv-sachsen	1096	tweets of the of all account the named twitter list
gfd_grundgesetz_list_lv-sachsen-anhalt	676	tweets of the of all account the named twitter list
gfd_grundgesetz_list_lv-schleswig-holstein	244	tweets of the of all account the named twitter list
gfd_grundgesetz_list_lv-th-ringen	2408	tweets of the of all account the named twitter list
gfd_grundgesetz_list_unterst-tzer	1708	tweets of the of all account the named twitter list
github_microsoft	65304	
giuliani	2126368	{q:'giuliani'}
goldtogreen__list2_blackasiansolidarity	197916	
gretathunberg	2186604	
gretathunberg2	856316	{q:'greta thunberg,gretathunberg,@gretathunberg'.expand()}
groko	295168	{q:'#groko'.expand()}
grossstaedte	42332644	{q:'berlin,hamburg,münchen,köln,frankfurt,stuttgart,düsseldorf,dortmund,essen,leipzig,bremen,dresden,hannover,nürnberg,duisburg,bochum,wuppertal,bielefeld,bonn,münster'.toOR()}
gun_control	1050088	{q:'"gun control"'}
habeck	325132	
hakenkreuz	69408	{q:'hakenkreuz'}
halle	5590476	{q:'halle,#halle0910,antisemitismus,#hal0910,#haltdiefresse,#yomkippur,einzeltäter,#natsanalyse,#christchurch,#merkel,rassismus,rechterterror,#halleshooting,#wirstehenzusammen,alarmzeichen,#yomkippour,rechtsterrorismus,#jomkippur,synagoge,synagogue,rechtsextremismus,antisemitisch,terroranschlag'.toOR()}
haltdiefressebild	74492	{q:'haltdiefressebild'}
haltdiefressejasmina	4340	{q:'haltdiefressejasmina'.expand()}
hambacherforst	1404612	{q:'aktionunterholz,braunkohle,braunkohleabbau,endcoal,endegelaende,hambach,hambacherforst,hambacherforstbleibt,hambacherwald,hambi,hambi_bleibt,hambibleibt,hambibleibtaktion,kohle,kohleausstieg,kohlekommission,rwe'.toOR()}
hanau	579500	{q:'hanau,rechterterror,hanaushooting,rechtsterrorismus,hanauattack,rechtsextremismus'.toOR()}
heimat	593520	{q:'heimat'}
heimathorst	13292	
heinsberg	221872	{q:'heinsberg,heinsbergstudie,heinsbergprotokoll,streeck,@hendrikstreeck,heinsberg-studie,storymachine,@hbergprotokoll,@mmronz'.expand()}
hgmaassen	99848	
homeoffice	369204	{q:'homeoffice'}
hongkong	6560868	{q:'#HongKong,#HongKongProtests,#StandwithHK,#antiELAB,#HongKongPolice,#StandWithHongKong,#FreeHongKong,#HongKongProtest,#hkpolice,#chinazi,#HongKongProtester,#香港,#LIHKG,#policebrutality,#HKPoliceTerrorism,#hkpolicebrutality,#hongkongpolicebrutality,#PoliceTerrorism,#HongKongPoliceTerrorism,#antiELABhk,#Shout4HK,#StandwithHonKong,#HongKongProtesters,#HongKongHumanRightsAndDemocracyAct,#Eye4HK,#HKprotests,#FightForFreedom,#HK,#HongKongers,#antichinazi,#hkprotest,#香港デモ,#PoliceBrutalitiy,#FreedomHK'.toOR()}
hugoboss	42632	
iibigin_com	252	
impfen1	4836516	{q:'impfaktion,impfbereitschaft,impfdosen,impfen,impfertminvergabe,impfgegner,impfkampagne,impfmotivation,impfpflicht,impfquote,impfschutz,impfskepsis,impfskeptischen,impfskeptisch,impfskeptische,impfstart,impfstoff,impfstoffe,impfstoffen,impfstoffs,impft,impften,impftermin,impfterminvergabe,impfung,impfungen,impfzentren,impfzentrum,impfzwang'.expand()}
impfen2	7408	{q:'ichbereuedieimpfung'}
inauguration2021	102182884	{q:'@joebiden,@kamalaharris,biden,bidenharris,bidenharrisinauguration,harris,inaugural,inauguration,inauguration2021,inaugurationday,inaugurationday2021,joebiden,kamala,kamalaharris,presidentbiden,trumpslastday,vicepresidentharris'.expand()}
infowars	2274860	
infowars2	1374908	{q:'@infowars,@RealAlexJones'.expand()+' OR "alex jones"'}
iranprotests	1698652	{q:'تظاهرات_سراسری,IranProtests'.expand()}
iranprotests2	1797912	{q:'iranprotests,تظاهرات_سراسرى,مظاهرات_ايران,تظاهرات_سراسری,تظاهرات_سراسري'.expand()}
iranprotests3	2707228	{q:',نه_به_اعدام,stopexecutionsiniran,اعدام_نکنید,notoexecusion,notoexecusioniran,stopexecutionofiranianprotestors,نه_به_اعدام_معترضان,دادگاه_علنی,iranianlivesmatter,بهبهان,اعدام_نكنيد,stopexecutionofiranianprotesters,اعتراضات_سراسری,notoexecutioniniran,stopexecutioniniran,stopexecutionslnlran,اعدامنکنید,آزاد_کنید,بهطالبانباجندهید,noexecutioniniran'.expand()}
iranprotests4	270932	{q:'@AlinejadMasih,MasihAlinejad,مسیح علی‌نژاد‎,ForcedHijab,حجاب'.expand()}
iranprotests5	741376	
israel	21289916	{q:'#israel'.expand()}
itsa18	1376	
jensspahn	286064	
jensspahn2	81984	{q:'@jensspahn'.expand()}
kippa	36320	{q:'kippa', lang:'de'}
knobloch	18168	{q:'#knobloch'.expand()}
koethen	41960	
ladg	11344	{q:'ladg,landesantidiskriminierungsgesetz'.toOR()}
lauterbach	1405968	{q:'lauterbach'.expand()}
lockdownjetzt	33308	{q:'lockdownjetzt'.expand()}
lufthansa	759872	{q:'lufthansa,lufthansablue,explorethenew'.toOR()}
luisamneubauer	160772	{q:'@luisamneubauer'.expand()}
maassen	985396	{q:'maassen,maaßen,verfassungsschutz,verfassungsschutzchef,vs-chef,vs-präsident,verfassung'.toOR()}
maassen2	21036	
maassen3	47520	{q:'@HGMaassen'.expand()}
maennerwelten	847144	{q:'#maennerwelt,#maennerwelten,#männerwelt,#männerwelten,belästigen,belästigt,belästigung,belästigungen,dickpic,dickpics,dunkelziffer,fickbar,frauenhass,grabschen,missbrauch,schwanz,sexualisierte,sexuell,sexueller,vollgewichstes,würgen,übergriff,übergriffe'.expand()}
mdb_bundestag	2676312	
mdl_baden_wuerttemberg	96464	
mdl_bayern	130712	
mdl_berlin	160668	
mdl_brandenburg	20972	
mdl_bremen	11720	
mdl_hamburg	21788	
mdl_hessen	43944	
mdl_mecklenburg_vorpommen	9176	
mdl_niedersachsen	420196	
mdl_nrw	130372	
mdl_rheinland_pfalz	57988	
mdl_saarland	10448	
mdl_sachsen	314344	
mdl_sachsen_anhalt	63564	
mdl_schleswig_holstein	111316	
mdl_thueringen	83068	
mdr_sn	12784	
media_20min	50144	
media_bild	350244	
media_blick_ch	41400	
media_br24	22976	
media_derstandard	98040	
media_dpa	15684	
media_epochtimes	78180	
media_faz	90312	
media_focus	289864	
media_freitag	35024	
media_huffingtonpost_de	22644	
